timestamp,source_type,source_name,event_type,severity,message,ip_src,ip_dst,port_src,port_dst,protocol,user_agent,request_method,request_path,response_code,payload,label
2025-08-05T23:39:39.431000Z,application,user_behavior,info,info,Starting benign user simulation for user user_850,,,,,HTTP,,,,,,0
2025-08-05T23:39:39.431000Z,application,user_behavior,info,info,Target URL: http://nginx:80,,,,,HTTP,,,,,,0
2025-08-05T23:39:39.431000Z,application,user_behavior,info,info,Container IP: 172.16.218.130,,,,,HTTP,,,,,,0
2025-08-05T23:39:39.431000Z,application,user_behavior,info,info,Starting benign user simulation for 1 minutes,,,,,HTTP,,,,,,0
2025-08-05T23:39:39.431000Z,application,user_behavior,info,info,Browsing homepage,,,,,HTTP,,,,,,0
2025-08-05T23:39:39.432000Z,application,user_behavior,info,info,Starting benign user simulation for user user_850,,,,,HTTP,,,,,,0
2025-08-05T23:39:39.432000Z,application,user_behavior,info,info,Target URL: http://nginx:80,,,,,HTTP,,,,,,0
2025-08-05T23:39:39.432000Z,application,user_behavior,info,info,Container IP: 172.16.218.130,,,,,HTTP,,,,,,0
2025-08-05T23:39:39.432000Z,application,user_behavior,info,info,Starting benign user simulation for 1 minutes,,,,,HTTP,,,,,,0
2025-08-05T23:39:39.432000Z,application,user_behavior,info,info,Browsing homepage,,,,,HTTP,,,,,,0
2025-08-05T23:39:39.460000Z,application,user_behavior,info,info,SUCCESS GET / - Status: 200,172.16.218.130,,,,HTTP,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.124 Safari/537.36",GET,/,200,,0
2025-08-05T23:39:39.462000Z,application,user_behavior,info,info,SUCCESS GET / - Status: 200,172.16.218.130,,,,HTTP,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.124 Safari/537.36",GET,/,200,,0
2025-08-05T23:39:49.773000Z,application,user_behavior,info,info,Adding product 73 to cart (quantity: 2),,,,,HTTP,,,,,,0
2025-08-05T23:39:49.775000Z,application,user_behavior,info,info,Adding product 73 to cart (quantity: 2),,,,,HTTP,,,,,,0
