line_num,timestamp,ip,method,path,status,size,user_agent,attack_id,payload_id,http_timestamp,source_ip,traffic_type,attack_type,gt_label,label_reason
1,31/Jul/2025:14:43:26 +0000,172.19.0.3,GET,/,200,80117,Mozilla/5.0 (compatible; BenignBot/1.0),,,2025-07-31T14:43:26.,172.19.0.3,benign,,benign,default_benign
2,31/Jul/2025:14:43:28 +0000,172.19.0.3,GET,/,200,80117,Mozilla/5.0 (compatible; BenignBot/1.0),,,2025-07-31T14:43:28.,172.19.0.3,benign,,benign,default_benign
3,31/Jul/2025:14:43:30 +0000,172.19.0.3,GET,/,200,80117,Mozilla/5.0 (compatible; BenignBot/1.0),,,2025-07-31T14:43:30.,172.19.0.3,benign,,benign,default_benign
4,31/Jul/2025:14:43:32 +0000,172.19.0.3,GET,/,200,80117,Mozilla/5.0 (compatible; BenignBot/1.0),,,2025-07-31T14:43:32.,172.19.0.3,benign,,benign,default_benign
5,31/Jul/2025:14:43:34 +0000,172.19.0.3,GET,/,200,80117,Mozilla/5.0 (compatible; BenignBot/1.0),,,2025-07-31T14:43:34.,172.19.0.3,benign,,benign,default_benign
6,31/Jul/2025:14:43:36 +0000,172.19.0.3,GET,/,200,80117,Mozilla/5.0 (compatible; BenignBot/1.0),,,2025-07-31T14:43:36.,172.19.0.3,benign,,benign,default_benign
7,31/Jul/2025:14:43:38 +0000,172.19.0.3,GET,/,200,80117,Mozilla/5.0 (compatible; BenignBot/1.0),,,2025-07-31T14:43:38.,172.19.0.3,benign,,benign,default_benign
8,31/Jul/2025:14:43:40 +0000,172.19.0.3,GET,/,200,80117,Mozilla/5.0 (compatible; BenignBot/1.0),,,2025-07-31T14:43:40.,172.19.0.3,benign,,benign,default_benign
9,31/Jul/2025:14:43:42 +0000,172.19.0.3,GET,/,200,80117,Mozilla/5.0 (compatible; BenignBot/1.0),,,2025-07-31T14:43:42.,172.19.0.3,benign,,benign,default_benign
10,31/Jul/2025:14:43:44 +0000,172.19.0.3,GET,/,200,80117,Mozilla/5.0 (compatible; BenignBot/1.0),,,2025-07-31T14:43:44.,172.19.0.3,benign,,benign,default_benign
11,31/Jul/2025:14:43:46 +0000,172.19.0.3,GET,/,200,80117,Mozilla/5.0 (compatible; BenignBot/1.0),,,2025-07-31T14:43:46.,172.19.0.3,benign,,benign,default_benign
12,31/Jul/2025:14:43:48 +0000,172.19.0.3,GET,/,200,80117,Mozilla/5.0 (compatible; BenignBot/1.0),,,2025-07-31T14:43:48.,172.19.0.3,benign,,benign,default_benign
13,31/Jul/2025:14:43:50 +0000,172.19.0.3,GET,/,200,80117,Mozilla/5.0 (compatible; BenignBot/1.0),,,2025-07-31T14:43:50.,172.19.0.3,benign,,benign,default_benign
14,31/Jul/2025:14:43:53 +0000,172.19.0.3,GET,/,200,80117,Mozilla/5.0 (compatible; BenignBot/1.0),,,2025-07-31T14:43:52.,172.19.0.3,benign,,benign,default_benign
15,31/Jul/2025:14:43:55 +0000,172.19.0.3,GET,/,200,80117,Mozilla/5.0 (compatible; BenignBot/1.0),,,2025-07-31T14:43:55.,172.19.0.3,benign,,benign,default_benign
16,31/Jul/2025:14:43:56 +0000,172.19.0.4,POST,/rest/user/login,401,26,attacker,attack_1753973036_28891,payload_1,2025-07-31T14:43:56.465Z,,,,attack,time_ip_match:payload_1_at_14:43:56
17,31/Jul/2025:14:43:57 +0000,172.19.0.3,GET,/,200,80117,Mozilla/5.0 (compatible; BenignBot/1.0),,,2025-07-31T14:43:57.,172.19.0.3,benign,,benign,default_benign
18,31/Jul/2025:14:43:57 +0000,172.19.0.4,POST,/rest/user/login,401,26,attacker,attack_1753973037_3948,payload_2,2025-07-31T14:43:57.581Z,,,,attack,time_ip_match:payload_1_at_14:43:56
19,31/Jul/2025:14:43:58 +0000,172.19.0.4,POST,/rest/user/login,500,1461,attacker,attack_1753973038_17001,payload_3,2025-07-31T14:43:58.628Z,,,,attack,time_ip_match:payload_1_at_14:43:56
20,31/Jul/2025:14:43:59 +0000,172.19.0.3,GET,/,200,80117,Mozilla/5.0 (compatible; BenignBot/1.0),,,2025-07-31T14:43:59.,172.19.0.3,benign,,benign,default_benign
21,31/Jul/2025:14:44:01 +0000,172.19.0.3,GET,/,200,80117,Mozilla/5.0 (compatible; BenignBot/1.0),,,2025-07-31T14:44:01.,172.19.0.3,benign,,benign,default_benign
22,31/Jul/2025:14:44:03 +0000,172.19.0.3,GET,/,200,80117,Mozilla/5.0 (compatible; BenignBot/1.0),,,2025-07-31T14:44:03.,172.19.0.3,benign,,benign,default_benign
23,31/Jul/2025:14:44:05 +0000,172.19.0.3,GET,/,200,80117,Mozilla/5.0 (compatible; BenignBot/1.0),,,2025-07-31T14:44:05.,172.19.0.3,benign,,benign,default_benign
24,31/Jul/2025:14:44:07 +0000,172.19.0.3,GET,/,200,80117,Mozilla/5.0 (compatible; BenignBot/1.0),,,2025-07-31T14:44:07.,172.19.0.3,benign,,benign,default_benign
25,31/Jul/2025:14:44:09 +0000,172.19.0.3,GET,/,200,80117,Mozilla/5.0 (compatible; BenignBot/1.0),,,2025-07-31T14:44:09.,172.19.0.3,benign,,benign,default_benign
26,31/Jul/2025:14:44:11 +0000,172.19.0.3,GET,/,200,80117,Mozilla/5.0 (compatible; BenignBot/1.0),,,2025-07-31T14:44:11.,172.19.0.3,benign,,benign,default_benign
27,31/Jul/2025:14:44:13 +0000,172.19.0.3,GET,/,200,80117,Mozilla/5.0 (compatible; BenignBot/1.0),,,2025-07-31T14:44:13.,172.19.0.3,benign,,benign,default_benign
28,31/Jul/2025:14:44:15 +0000,172.19.0.3,GET,/,200,80117,Mozilla/5.0 (compatible; BenignBot/1.0),,,2025-07-31T14:44:15.,172.19.0.3,benign,,benign,default_benign
29,31/Jul/2025:14:44:17 +0000,172.19.0.3,GET,/,200,80117,Mozilla/5.0 (compatible; BenignBot/1.0),,,2025-07-31T14:44:17.,172.19.0.3,benign,,benign,default_benign
30,31/Jul/2025:14:44:19 +0000,172.19.0.3,GET,/,200,80117,Mozilla/5.0 (compatible; BenignBot/1.0),,,2025-07-31T14:44:19.,172.19.0.3,benign,,benign,default_benign
31,31/Jul/2025:14:44:21 +0000,172.19.0.3,GET,/,200,80117,Mozilla/5.0 (compatible; BenignBot/1.0),,,2025-07-31T14:44:21.,172.19.0.3,benign,,benign,default_benign
32,31/Jul/2025:14:44:23 +0000,172.19.0.3,GET,/,200,80117,Mozilla/5.0 (compatible; BenignBot/1.0),,,2025-07-31T14:44:23.,172.19.0.3,benign,,benign,default_benign
33,31/Jul/2025:14:44:25 +0000,172.19.0.3,GET,/,200,80117,Mozilla/5.0 (compatible; BenignBot/1.0),,,2025-07-31T14:44:25.,172.19.0.3,benign,,benign,default_benign
34,31/Jul/2025:14:44:27 +0000,172.19.0.3,GET,/,200,80117,Mozilla/5.0 (compatible; BenignBot/1.0),,,2025-07-31T14:44:27.,172.19.0.3,benign,,benign,default_benign
35,31/Jul/2025:14:44:29 +0000,172.19.0.3,GET,/,200,80117,Mozilla/5.0 (compatible; BenignBot/1.0),,,2025-07-31T14:44:29.,172.19.0.3,benign,,benign,default_benign
36,31/Jul/2025:14:44:31 +0000,172.19.0.3,GET,/,200,80117,Mozilla/5.0 (compatible; BenignBot/1.0),,,2025-07-31T14:44:31.,172.19.0.3,benign,,benign,default_benign
37,31/Jul/2025:14:44:33 +0000,172.19.0.3,GET,/,200,80117,Mozilla/5.0 (compatible; BenignBot/1.0),,,2025-07-31T14:44:33.,172.19.0.3,benign,,benign,default_benign
38,31/Jul/2025:14:44:35 +0000,172.19.0.3,GET,/,200,80117,Mozilla/5.0 (compatible; BenignBot/1.0),,,2025-07-31T14:44:35.,172.19.0.3,benign,,benign,default_benign
